Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmag,RPmag
6086816278818101120,201.19005447143,-46.47494163651,-7.41,0.238,20.60966,20.883821,19.615704
6086816283119855488,201.1719860212,-46.47757316916,3.605,-5.197,17.688103,18.693651,16.680595
6086816283114021760,201.18032945349,-46.47050365706,-1.629,-2.583,19.815886,20.638737,18.647003
6086816313177837568,201.15149941008,-46.48372341794,4.132,-4.872,20.109966,20.64433,19.582571
6086816317475777792,201.15496987278,-46.48153222945,,,21.020369,21.056126,20.593685
6086816317476777728,201.14922765644,-46.48179121802,,,20.999586,21.544369,19.936165
6086816313178736768,201.15403427009,-46.47625470502,-10.399,-3.767,19.552383,20.19034,18.92115
6086816313178740096,201.16083395603,-46.47665540968,-6.389,-4.355,18.661665,19.077095,18.138819
6086816313178746624,201.15399270287,-46.47417087645,-10.018,0.714,19.32844,20.010893,18.652681
6086816317479597696,201.15134513924,-46.47368541549,-20.517,5.719,15.863163,16.475348,15.115438
6086816317479603328,201.16344394834,-46.46684493936,-18.603,-7.472,17.298037,17.88001,16.595297
6086816347538492288,201.170889564,-46.47182659898,-7.327,1.949,17.127375,17.594286,16.494793
6086816347538513280,201.17756125452,-46.4647219378,-9.183,-2.848,17.735273,18.30959,16.98788
6086816351839955968,201.18676621618,-46.4605321183,-1.231,-1.17,20.449911,21.480782,19.690374
6086816351839348224,201.18204520107,-46.46156599895,-7.744,1.989,16.973183,17.340305,16.435225
6086816351839347584,201.17707397643,-46.46174223658,-6.568,-2.245,18.528236,18.856417,17.98859
6086816347538013952,201.16885518887,-46.45882682076,-2.057,-11.225,12.556295,12.956906,11.994494
6086816381898156416,201.1107988793,-46.49289922285,-6.797,-2.049,19.096685,19.48394,18.636843
6086816381897313280,201.1085453595,-46.49119890901,,,20.691374,21.296698,19.993752
6086816386199691264,201.12376192576,-46.4854296518,,,20.787022,20.572424,20.344263
6086816381898175616,201.11031044269,-46.48701437752,-7.716,-2.185,18.205574,18.544046,17.688038
6086816381898176896,201.10577711609,-46.48644664733,-4.547,-2.13,19.424557,19.789068,18.908934
